season,range,mean,min,max,median,stdDev
spring,133,193.5,133,289,190.5,41.8282201390401
spring,289,193.5,133,289,190.5,41.8282201390401
summer,107,215.2688172043011,107,466,209,64.11710410493583
summer,466,215.2688172043011,107,466,209,64.11710410493583
